Algorithm: cat2
Final accuracy: 0.9375
Final adversarial accuracy: 0.7362

Accuracy progression:
Round 1: 0.7013
Round 2: 0.8425
Round 3: 0.9038
Round 4: 0.9337
Round 5: 0.9350
Round 6: 0.9413
Round 7: 0.9450
Round 8: 0.9550
Round 9: 0.9413
Round 10: 0.9350
Round 11: 0.9375
Round 12: 0.9487
Round 13: 0.9400
Round 14: 0.9450
Round 15: 0.9437
Round 16: 0.9475
Round 17: 0.9475
Round 18: 0.9450
Round 19: 0.9437
Round 20: 0.9413
Round 21: 0.9475
Round 22: 0.9400
Round 23: 0.9413
Round 24: 0.9437
Round 25: 0.9413
Round 26: 0.9413
Round 27: 0.9400
Round 28: 0.9363
Round 29: 0.9363
Round 30: 0.9375
Round 31: 0.9387
Round 32: 0.9375
Round 33: 0.9375
Round 34: 0.9387
Round 35: 0.9375
Round 36: 0.9375
Round 37: 0.9350
Round 38: 0.9363
Round 39: 0.9363
Round 40: 0.9375
Round 41: 0.9363
Round 42: 0.9363
Round 43: 0.9363
Round 44: 0.9375
Round 45: 0.9363
Round 46: 0.9363
Round 47: 0.9375
Round 48: 0.9375
Round 49: 0.9375
Round 50: 0.9375

Adversarial accuracy progression:
Round 1: 0.1588
Round 2: 0.4763
Round 3: 0.7312
Round 4: 0.7875
Round 5: 0.7775
Round 6: 0.7975
Round 7: 0.8213
Round 8: 0.8150
Round 9: 0.8150
Round 10: 0.8263
Round 11: 0.7837
Round 12: 0.7700
Round 13: 0.7837
Round 14: 0.7688
Round 15: 0.7688
Round 16: 0.7475
Round 17: 0.7612
Round 18: 0.7675
Round 19: 0.7675
Round 20: 0.7662
Round 21: 0.7512
Round 22: 0.7512
Round 23: 0.7575
Round 24: 0.7425
Round 25: 0.7562
Round 26: 0.7388
Round 27: 0.7500
Round 28: 0.7525
Round 29: 0.7400
Round 30: 0.7475
Round 31: 0.7425
Round 32: 0.7438
Round 33: 0.7425
Round 34: 0.7450
Round 35: 0.7512
Round 36: 0.7450
Round 37: 0.7400
Round 38: 0.7450
Round 39: 0.7438
Round 40: 0.7438
Round 41: 0.7462
Round 42: 0.7388
Round 43: 0.7400
Round 44: 0.7388
Round 45: 0.7438
Round 46: 0.7462
Round 47: 0.7388
Round 48: 0.7375
Round 49: 0.7425
Round 50: 0.7362
